Trials,Precision,Regret,CumulativeRegret
721,99.0,0.203,568.752
722,99.0,0.316,569.069
723,99.2,0.303,569.372
724,98.8,0.263,569.635
725,99.2,0.193,569.828
726,98.6,0.194,570.022
727,99.4,0.191,570.214
728,99.0,0.189,570.403
729,99.0,0.155,570.557
730,99.0,0.166,570.723
731,99.2,0.263,570.986
732,98.6,0.136,571.122
733,99.2,0.248,571.370
734,99.4,0.199,571.569
735,99.0,0.266,571.834
736,99.0,0.182,572.016
737,99.4,0.227,572.243
738,98.8,0.236,572.479
739,99.2,0.224,572.703
740,98.8,0.164,572.867
741,99.4,0.218,573.085
742,99.4,0.225,573.310
743,99.0,0.259,573.568
744,99.2,0.204,573.773
745,99.2,0.212,573.985
746,99.4,0.224,574.209
747,99.2,0.197,574.407
748,99.2,0.174,574.581
749,99.2,0.142,574.722
750,99.2,0.262,574.984
751,99.2,0.210,575.194
752,99.0,0.201,575.395
753,99.2,0.234,575.629
754,99.6,0.197,575.825
755,99.4,0.162,575.987
756,99.0,0.209,576.196
757,99.0,0.193,576.389
758,99.2,0.195,576.584
759,99.0,0.171,576.755
760,99.4,0.139,576.894
761,99.4,0.245,577.139
762,99.2,0.191,577.330
763,99.4,0.155,577.486
764,99.2,0.161,577.646
765,99.4,0.201,577.848
766,99.2,0.238,578.085
767,99.4,0.213,578.298
768,99.4,0.179,578.477
769,99.4,0.217,578.694
770,98.8,0.181,578.876
771,98.8,0.207,579.083
772,99.2,0.219,579.302
773,99.0,0.253,579.555
774,99.2,0.188,579.743
775,99.6,0.212,579.955
776,99.0,0.205,580.160
777,99.4,0.192,580.352
778,99.4,0.254,580.606
779,99.4,0.153,580.759
780,98.8,0.214,580.974
781,98.8,0.166,581.139
782,99.4,0.201,581.340
783,99.2,0.290,581.630
784,99.2,0.214,581.845
785,99.2,0.208,582.052
786,98.8,0.196,582.248
787,99.0,0.195,582.443
788,99.6,0.194,582.637
789,99.4,0.197,582.834
790,99.0,0.262,583.097
791,99.4,0.224,583.321
792,99.4,0.192,583.513
793,99.6,0.194,583.706
794,99.2,0.164,583.871
795,99.2,0.234,584.105
796,98.8,0.167,584.272
797,99.4,0.206,584.478
798,99.4,0.177,584.655
799,99.4,0.220,584.875
800,99.4,0.187,585.061
801,99.0,0.209,585.270
802,99.4,0.205,585.475
803,99.4,0.190,585.665
804,99.4,0.244,585.908
805,99.0,0.187,586.096
806,99.2,0.194,586.290
807,99.0,0.238,586.528
808,98.8,0.209,586.737
809,99.4,0.208,586.946
810,99.2,0.178,587.124
811,99.2,0.220,587.344
812,99.0,0.182,587.525
813,99.0,0.163,587.689
814,99.6,0.206,587.894
815,99.2,0.151,588.046
816,99.2,0.175,588.221
817,99.4,0.147,588.368
818,99.2,0.152,588.519
819,99.2,0.253,588.773
820,99.2,0.193,588.966
821,99.2,0.137,589.103
822,98.8,0.188,589.291
823,99.4,0.166,589.457
824,99.2,0.263,589.720
825,99.2,0.187,589.907
826,99.6,0.243,590.150
827,99.6,0.252,590.402
828,99.0,0.204,590.606
829,99.6,0.200,590.806
830,99.0,0.208,591.014
831,99.6,0.188,591.202
832,99.2,0.177,591.378
833,99.2,0.248,591.627
834,99.0,0.234,591.861
835,99.4,0.205,592.066
836,99.4,0.222,592.288
837,99.2,0.148,592.436
838,99.4,0.178,592.613
839,99.2,0.179,592.792
840,99.4,0.189,592.982
841,99.0,0.220,593.201
842,99.2,0.174,593.375
843,99.4,0.197,593.572
844,99.4,0.226,593.798
845,99.4,0.183,593.980
846,99.6,0.227,594.207
847,99.6,0.146,594.353
848,99.0,0.139,594.491
849,99.2,0.220,594.711
850,99.4,0.182,594.893
851,99.4,0.185,595.079
852,98.8,0.209,595.288
853,99.2,0.191,595.479
854,99.2,0.220,595.699
855,98.8,0.171,595.871
856,99.2,0.162,596.033
857,98.6,0.164,596.197
858,99.0,0.163,596.360
